fecha;kgs_netos
2022-04-29;92877
2022-04-29;74060
2022-04-29;73692
2022-04-29;72664
2022-04-29;61280
2022-04-27;62420
2022-04-27;59820
2022-04-27;243305
2022-04-27;50280
2022-04-27;103480
2022-04-27;248324
2022-04-27;231200
2022-04-25;59940
2022-04-25;152450
2022-04-25;258457
2022-04-25;255980
2022-04-22;58560
2022-04-22;242641
2022-04-22;239129
2022-04-22;269000
2022-04-22;250672
2022-04-22;249212
2022-04-22;249580
2022-04-20;250715
2022-04-20;241240
2022-04-20;229593
2022-04-18;261266
2022-04-13;263240
2022-04-13;240540
2022-04-13;257750
2022-04-11;242720
2022-04-11;183000
2022-04-11;251880
2022-04-08;246358
2022-04-08;242688
2022-04-08;267864
2022-04-06;261371
2022-04-04;272725
2022-04-04;259660
2022-04-01;519689
2022-04-01;249697
2022-04-01;382922
2022-03-30;61540
2022-03-25;249689
2022-03-25;246079
2022-03-23;381720
2022-03-18;246520
2022-03-18;30080
2022-03-16;380256
2022-03-16;94087
2022-03-16;28460
2022-03-14;62415
2022-03-14;369016
2022-03-14;69520
2022-03-14;37080
2022-03-11;165300
2022-03-11;87444
2022-03-11;86420
2022-03-11;28000
2022-03-11;30870
2022-03-11;34226
2022-03-11;374829
2022-03-11;27732
2022-03-11;73309
2022-03-11;35166
2022-03-11;36640
2022-03-09;66564
2022-03-09;36520
2022-03-09;37200
2022-03-09;37440
2022-03-09;72479
2022-03-09;30920
2022-03-09;27860
2022-03-09;99920
2022-03-07;100580
2022-03-04;35500
2022-03-04;103740
2022-03-04;31815
2022-03-04;73020
2022-03-04;31000
2022-03-04;34760
2022-03-02;402027
2022-02-25;54679
2022-02-25;30120
2022-02-25;28200
2022-02-25;104020
2022-02-25;62821
2022-02-25;32111
2022-02-25;36880
2022-02-25;28520
2022-02-25;68400
2022-02-25;89980
2022-02-23;90840
2022-02-23;76400
2022-02-23;70829
2022-02-23;59100
2022-02-23;35720
2022-02-23;37320
2022-02-23;360480
2022-02-23;37360
2022-02-23;37686
2022-02-23;109260
2022-02-23;162740
2022-02-23;67720
2022-02-23;73414
2022-02-23;35640
2022-02-23;39660
2022-02-23;37160
2022-02-23;35842
2022-02-23;38060
2022-02-21;129154
2022-02-18;263154
2022-02-18;59020
2022-02-18;377620
2022-02-18;95360
2022-02-18;57276
2022-02-18;34300
2022-02-18;37760
2022-02-18;30480
2022-02-18;30860
2022-02-18;35900
2022-02-18;378340
2022-02-18;74155
2022-02-18;30300
2022-02-16;101000
2022-02-16;29680
2022-02-16;201640
2022-02-16;35880
2022-02-16;29960
2022-02-16;33500
2022-02-16;30340
2022-02-16;37740
2022-02-16;467610
2022-02-15;272180
2022-02-15;426400
2022-02-15;169740
2022-02-15;70880
2022-02-15;35864
2022-02-15;36077
2022-02-15;56740
2022-02-15;73804
2022-02-15;98052
2022-02-11;373100
2022-02-11;373458
2022-02-11;84434
2022-02-11;37000
2022-02-11;63520
2022-02-11;66600
2022-02-11;58131
2022-02-11;93700
2022-02-11;151558
2022-02-11;368120
2022-02-11;133140
2022-02-11;66280
2022-02-09;36540
2022-02-09;60920
2022-02-09;59180
2022-02-09;82740
2022-02-09;376920
2022-02-09;62944
2022-02-09;179180
2022-02-09;151780
2022-02-09;822720
2022-02-09;144120
2022-02-09;400208
2022-02-09;161660
2022-02-07;73340
2022-02-07;59679
2022-02-07;24522
2022-02-07;60660
2022-02-07;201740
2022-02-07;294780
2022-02-07;199100
2022-02-07;43740
2022-02-04;279053
2022-02-04;31160
2022-02-04;286180
2022-02-04;92820
2022-02-04;142860
2022-02-04;122380
2022-02-04;391736
2022-02-02;173980
2022-02-02;63200
2022-02-02;412960
2022-02-02;248685
2022-02-02;501245
2022-02-02;358940
2022-02-02;61740
2022-01-31;246349
2022-01-31;216828
2022-01-31;261159
2022-01-31;322720
2022-01-28;263527
2022-01-27;276360
2022-01-27;308960
2022-01-27;271600
2022-01-27;1003421
2022-01-26;309464
2022-01-26;338420
2022-01-26;218430
2022-01-26;255719
2022-01-26;709720
2022-01-26;262400
2022-01-25;264129
2022-01-25;1049514
2022-01-24;505340
2022-01-24;259040
2022-01-24;212060
2022-01-24;41500
2022-01-21;135440
2022-01-21;118120
2022-01-20;251520
2022-01-20;273680
2022-01-19;206220
2022-01-19;273100
2022-01-18;277514
2022-01-18;618280
2022-01-17;74300
2022-01-17;92080
2022-01-17;376367
2022-01-17;371417
2022-01-17;276553
2022-01-17;304319
2022-01-14;718140
2022-01-14;510160
2022-01-14;274455
2022-01-12;1212880
2022-01-12;264900
2022-01-12;135980
